Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats
Maruti Alto 800 2016-2019 LXI,Coimbatore,2013,54493,Petrol,Manual,Second,24.7,796.0,47.3,5.0
Toyota Innova Crysta Touring Sport 2.4 MT,Mumbai,2017,34000,Diesel,Manual,First,13.68,2393.0,147.8,7.0
Toyota Etios Liva GD,Hyderabad,2012,139000,Diesel,Manual,First,23.59,1364.0,74.0,5.0
Hyundai i20 Magna,Mumbai,2014,29000,Petrol,Manual,First,18.5,1197.0,82.85,5.0
Mahindra XUV500 W8 2WD,Coimbatore,2016,85609,Diesel,Manual,Second,16.0,2179.0,140.0,7.0
Toyota Fortuner 4x2 AT TRD Sportivo,Pune,2015,59000,Diesel,Automatic,First,12.55,2982.0,168.7,7.0
Hyundai EON Era Plus,Jaipur,2013,65000,Petrol,Manual,First,21.1,814.0,55.2,5.0
Honda City 1.5 S MT,Mumbai,2011,66000,Petrol,Manual,Second,17.0,1497.0,118.0,5.0
Mahindra XUV500 W6 2WD,Coimbatore,2015,54684,Diesel,Manual,First,15.1,2179.0,140.0,7.0
Audi Q5 2008-2012 2.0 TDI,Mumbai,2012,78000,Diesel,Automatic,Second,12.8,1968.0,167.6,5.0
Hyundai Grand i10 Magna,Jaipur,2016,21000,Petrol,Manual,First,18.9,1197.0,82.0,5.0
Toyota Corolla H5,Chennai,2007,90000,Petrol,Manual,Third,13.4,1794.0,125.0,5.0
Maruti Swift Vdi BSIII,Coimbatore,2008,87628,Diesel,Manual,First,17.8,1248.0,75.0,5.0
Nissan Terrano XL,Mumbai,2014,45000,Petrol,Manual,First,13.24,1598.0,102.5,5.0
BMW X1 sDrive20d,Coimbatore,2013,30788,Diesel,Automatic,First,17.05,1995.0,184.0,5.0
BMW 3 Series GT 320d Luxury Line,Hyderabad,2015,39524,Diesel,Automatic,First,19.59,1995.0,184.0,5.0
Ford Ikon 1.4 TDCi DuraTorq,Chennai,2009,140000,Diesel,Manual,First,13.8,1399.0,68.0,5.0
Maruti Swift Dzire VXi,Jaipur,2015,36502,Petrol,Manual,First,17.5,1298.0,85.8,5.0
Maruti Ritz LDi,Pune,2016,200000,Diesel,Manual,First,23.2,1248.0,73.94,5.0
Nissan Micra XV,Delhi,2010,70000,Petrol,Manual,First,18.06,1198.0,75.0,5.0
Maruti Alto 800 2016-2019 LXI,Kochi,2017,36701,Petrol,Manual,First,24.7,796.0,47.3,5.0
Skoda Laura 1.8 TSI Ambition,Bangalore,2009,72000,Petrol,Manual,Second,17.5,1197.0,74.0,5.0
Honda Civic 2010-2013 1.8 S MT Inspire,Bangalore,2011,40000,Petrol,Manual,Second,15.5,1799.0,132.0,5.0
Ford Ikon 1.3 Flair,Pune,2005,47000,Petrol,Manual,Second,13.8,1299.0,70.0,5.0
Maruti Alto LX,Pune,2006,93500,Petrol,Manual,Second,19.7,796.0,46.3,5.0
Honda Jazz 1.5 V i DTEC,Pune,2015,52000,Diesel,Manual,First,27.3,1498.0,98.6,5.0
Skoda Rapid 1.5 TDI AT Ambition,Delhi,2015,55429,Diesel,Automatic,Second,21.66,1498.0,103.52,5.0
Hyundai i20 1.2 Sportz,Mumbai,2011,133000,Petrol,Manual,Second,17.0,1197.0,80.0,5.0
Toyota Etios Cross 1.4L VD,Chennai,2014,70000,Diesel,Manual,Second,23.59,1364.0,67.06,5.0
Volkswagen Polo GT TDI,Pune,2014,68000,Diesel,Manual,First,15.11,1598.0,103.6,5.0
Hyundai i10 Era 1.1 iTech SE,Pune,2010,71000,Petrol,Manual,Second,19.81,1086.0,68.05,5.0
Mitsubishi Pajero 2.8 SFX,Chennai,2012,121000,Diesel,Manual,First,10.5,2835.0,107.2,6.0
Maruti Swift Dzire Tour LDI,Kolkata,2015,107000,Diesel,Manual,First,23.4,1248.0,74.0,5.0
Maruti Swift Dzire VXI,Chennai,2015,51000,Petrol,Manual,First,19.1,1197.0,85.8,5.0
