"Name","Location","Year","Kilometers_Driven","Fuel_Type","Transmission","Owner_Type","Mileage","Engine","Power","Seats","Price"
"Maruti Wagon R LXI CNG","Mumbai","2010.0","72000.0","CNG","Manual","First","26.6 km/kg","998 CC","58.16 bhp","5.0","1.75"
"Hyundai Creta 1.6 CRDi SX Option","Pune","2015.0","41000.0","Diesel","Manual","First","19.67 kmpl","1582 CC","126.2 bhp","5.0","12.5"
"Honda Jazz V","Chennai","2011.0","46000.0","Petrol","Manual","First","18.2 kmpl","1199 CC","88.7 bhp","5.0","4.5"
"Maruti Ertiga VDI","Chennai","2012.0","87000.0","Diesel","Manual","First","20.77 kmpl","1248 CC","88.76 bhp","7.0","6.0"
"Audi A4 New 2.0 TDI Multitronic","Coimbatore","2013.0","40670.0","Diesel","Automatic","Second","15.2 kmpl","1968 CC","140.8 bhp","5.0","17.74"
"Hyundai EON LPG Era Plus Option","Hyderabad","2012.0","75000.0","LPG","Manual","First","21.1 km/kg","814 CC","55.2 bhp","5.0","2.35"
"Nissan Micra Diesel XV","Jaipur","2013.0","86999.0","Diesel","Manual","First","23.08 kmpl","1461 CC","63.1 bhp","5.0","3.5"
"Toyota Innova Crysta 2.8 GX AT 8S","Mumbai","2016.0","36000.0","Diesel","Automatic","First","11.36 kmpl","2755 CC","171.5 bhp","8.0","17.5"
"Volkswagen Vento Diesel Comfortline","Pune","2013.0","64430.0","Diesel","Manual","First","20.54 kmpl","1598 CC","103.6 bhp","5.0","5.2"
"Tata Indica Vista Quadrajet LS","Chennai","2012.0","65932.0","Diesel","Manual","Second","22.3 kmpl","1248 CC","74 bhp","5.0","1.95"
"Maruti Ciaz Zeta","Kochi","2018.0","25692.0","Petrol","Manual","First","21.56 kmpl","1462 CC","103.25 bhp","5.0","9.95"
"Honda City 1.5 V AT Sunroof","Kolkata","2012.0","60000.0","Petrol","Automatic","First","16.8 kmpl","1497 CC","116.3 bhp","5.0","4.49"
"Maruti Swift VDI BSIV","Jaipur","2015.0","64424.0","Diesel","Manual","First","25.2 kmpl","1248 CC","74 bhp","5.0","5.6"
"Land Rover Range Rover 2.2L Pure","Delhi","2014.0","72000.0","Diesel","Automatic","First","12.7 kmpl","2179 CC","187.7 bhp","5.0","27.0"
"Land Rover Freelander 2 TD4 SE","Pune","2012.0","85000.0","Diesel","Automatic","Second","0.0 kmpl","2179 CC","115 bhp","5.0","17.5"
"Mitsubishi Pajero Sport 4X4","Delhi","2014.0","110000.0","Diesel","Manual","First","13.5 kmpl","2477 CC","175.56 bhp","7.0","15.0"
"Honda Amaze S i-Dtech","Kochi","2016.0","58950.0","Diesel","Manual","First","25.8 kmpl","1498 CC","98.6 bhp","5.0","5.4"
"Maruti Swift DDiS VDI","Jaipur","2017.0","25000.0","Diesel","Manual","First","28.4 kmpl","1248 CC","74 bhp","5.0","5.99"
"Renault Duster 85PS Diesel RxL Plus","Kochi","2014.0","77469.0","Diesel","Manual","First","20.45 kmpl","1461 CC","83.8 bhp","5.0","6.34"
"Mercedes-Benz New C-Class C 220 CDI BE Avantgare","Bangalore","2014.0","78500.0","Diesel","Automatic","First","14.84 kmpl","2143 CC","167.62 bhp","5.0","28.0"
"BMW 3 Series 320d","Kochi","2014.0","32982.0","Diesel","Automatic","First","22.69 kmpl","1995 CC","190 bhp","5.0","18.55"
"Maruti S Cross DDiS 200 Alpha","Bangalore","2015.0","55392.0","Diesel","Manual","Second","23.65 kmpl","1248 CC","88.5 bhp","5.0","8.25"
"Audi A6 2011-2015 35 TFSI Technology","Mumbai","2015.0","55985.0","Petrol","Automatic","First","13.53 kmpl","1984 CC","177.01 bhp","5.0","23.5"
"Hyundai i20 1.2 Magna","Kolkata","2010.0","45807.0","Petrol","Manual","First","18.5 kmpl","1197 CC","80 bhp","5.0","1.87"
"Volkswagen Vento Petrol Highline AT","Kolkata","2010.0","33000.0","Petrol","Automatic","First","14.4 kmpl","1598 CC","103.6 bhp","5.0","2.85"
"Honda City Corporate Edition","Mumbai","2012.0","51920.0","Petrol","Manual","First","16.8 kmpl","1497 CC","116.3 bhp","5.0","4.25"
"Nissan Micra Diesel XV","Hyderabad","2012.0","54000.0","Diesel","Manual","First","23.08 kmpl","1461 CC","63.1 bhp","5.0","4.25"
"Maruti Alto K10 2010-2014 VXI","Hyderabad","2013.0","54000.0","Petrol","Manual","Second","20.92 kmpl","998 CC","67.1 bhp","5.0","2.75"
"Honda WRV i-VTEC VX","Kochi","2018.0","37430.0","Petrol","Manual","First","17.5 kmpl","1199 CC","88.7 bhp","5.0","9.9"
"Toyota Innova 2.5 V Diesel 7-seater","Mumbai","2007.0","262000.0","Diesel","Manual","Fourth & Above","12.8 kmpl","2494 CC","102 bhp","7.0","4.0"
"Renault Duster 110PS Diesel RxZ Pack","Bangalore","2013.0","62000.0","Diesel","Manual","First","19.01 kmpl","1461 CC","108.45 bhp","5.0","7.75"
"Toyota Corolla Altis G","Delhi","2012.0","87615.0","Petrol","Manual","First","14.53 kmpl","1798 CC","138.1 bhp","5.0","6.75"
"Mahindra Ssangyong Rexton RX7","Bangalore","2013.0","72000.0","Diesel","Automatic","Second","11.18 kmpl","2696 CC","184 bhp","7.0","12.5"
"Audi A6 2.7 TDI","Kolkata","2010.0","35000.0","Diesel","Automatic","First","12.4 kmpl","2698 CC","179.5 bhp","5.0","11.5"
"Volkswagen Vento 1.6 Highline","Coimbatore","2014.0","55431.0","Petrol","Manual","Second","16.09 kmpl","1598 CC","103.5 bhp","5.0","6.98"
"Maruti Wagon R LXI BSIII","Jaipur","2009.0","83816.0","Petrol","Manual","Second","14.0 kmpl","1061 CC","64 bhp","5.0","1.85"
"Maruti Vitara Brezza ZDi Plus","Kochi","2018.0","50075.0","Diesel","Manual","First","24.3 kmpl","1248 CC","88.5 bhp","5.0","8.63"
"Mahindra KUV 100 mFALCON G80 K6 5str AW","Delhi","2017.0","52000.0","Petrol","Manual","First","18.15 kmpl","1198 CC","82 bhp","5.0","4.85"
"Mercedes-Benz M-Class ML 350 CDI","Pune","2013.0","85000.0","Diesel","Automatic","First","11.74 kmpl","2987 CC","254.8 bhp","5.0","28.0"
"Volkswagen Polo Diesel Trendline 1.2L","Chennai","2013.0","62000.0","Diesel","Manual","First","22.07 kmpl","1199 CC","73.9 bhp","5.0","5.0"
"Maruti Alto LXi","Delhi","2008.0","90000.0","Petrol","Manual","Second","19.7 kmpl","796 CC","46.3 bhp","5.0","1.25"
"Tata Nano LX SE","Kochi","2014.0","19698.0","Petrol","Manual","First","25.4 kmpl","624 CC","37.5 bhp","4.0","1.53"
"Mahindra KUV 100 mFALCON D75 K8 Dual Tone","Coimbatore","2017.0","22033.0","Diesel","Manual","First","25.32 kmpl","1198 CC","77 bhp","6.0","5.58"
"Hyundai i20 Magna Optional 1.2","Kochi","2014.0","35487.0","Petrol","Manual","First","18.5 kmpl","1197 CC","82.9 bhp","5.0","4.74"
"Hyundai Elantra 2.0 SX Option AT","Bangalore","2014.0","46374.0","Petrol","Automatic","First","14.62 kmpl","1999 CC","149.92 bhp","5.0","8.85"
"Toyota Corolla Altis G AT","Mumbai","2016.0","52001.0","Petrol","Automatic","First","14.28 kmpl","1798 CC","138.03 bhp","5.0","10.11"
"Hyundai Elantra CRDi","Ahmedabad","2008.0","58005.0","Diesel","Manual","Second","14.9 kmpl","1991 CC","112.2 bhp","5.0","4.25"
"Toyota Innova Crysta 2.7 GX MT","Bangalore","2012.0","70704.0","Petrol","Manual","First","11.25 kmpl","2694 CC","163.7 bhp","7.0","10.95"
"Hyundai Xcent 1.1 CRDi S","Jaipur","2014.0","75000.0","Diesel","Manual","First","24.4 kmpl","1120 CC","71 bhp","5.0","3.85"
"Mahindra Thar CRDe AC","Jaipur","2012.0","75800.0","Diesel","Manual","Second","16.55 kmpl","2498 CC","105 bhp","6.0","5.5"
"Audi A4 2.0 TDI 177 Bhp Premium Plus","Kochi","2015.0","13648.0","Diesel","Automatic","First","17.11 kmpl","1968 CC","174.33 bhp","5.0","21.43"
"Maruti Swift LDI","Delhi","2014.0","52000.0","Diesel","Manual","First","22.9 kmpl","1248 CC","74 bhp","5.0","4.25"
"Maruti Swift Ldi BSIV","Kolkata","2014.0","53000.0","Diesel","Manual","First","17.8 kmpl","1248 CC","75 bhp","5.0","3.3"
"Maruti Swift VDI","Delhi","2013.0","65650.0","Diesel","Manual","First","28.4 kmpl","1248 CC","74 bhp","5.0","3.85"
"Hyundai Grand i10 Sportz","Chennai","2015.0","54000.0","Petrol","Manual","Third","18.9 kmpl","1197 CC","82 bhp","5.0","3.6"
"Volkswagen Vento 2013-2015 1.6 Comfortline","Kolkata","2015.0","39000.0","Petrol","Manual","First","15.04 kmpl","1598 CC","103.2 bhp","5.0","3.99"
"Renault KWID RXT","Kochi","2017.0","16542.0","Petrol","Manual","First","25.17 kmpl","799 CC","53.3 bhp","5.0","3.3"
"Hyundai i10 Asta","Kolkata","2010.0","32000.0","Petrol","Manual","First","20.36 kmpl","1197 CC","78.9 bhp","5.0","2.07"
"Nissan X-Trail SLX AT","Hyderabad","2010.0","121812.0","Diesel","Automatic","First","13.29 kmpl","1995 CC","147.6 bhp","5.0","7.75"
"Maruti Zen Estilo VXI BSIII","Hyderabad","2010.0","39300.0","Petrol","Manual","First","18.2 kmpl","998 CC","67.1 bhp","5.0","2.25"
"Toyota Innova Crysta 2.4 GX MT 8S","Mumbai","2017.0","22000.0","Diesel","Manual","First","13.68 kmpl","2393 CC","147.8 bhp","8.0","16.5"
"Ford Figo Diesel Titanium","Bangalore","2010.0","72000.0","Diesel","Manual","First","20.0 kmpl","1399 CC","68 bhp","5.0","2.75"
"Mercedes-Benz New C-Class C 200 CGI Avantgarde","Delhi","2015.0","58000.0","Petrol","Automatic","First","11.74 kmpl","1796 CC","186 bhp","5.0","26.7"
"Mercedes-Benz New C-Class 200 CDI Classic","Pune","2011.0","65000.0","Diesel","Manual","Second","15.8 kmpl","2148 CC","170 bhp","5.0","10.0"
"Tata Indica V2 eLS","Chennai","2016.0","178000.0","Diesel","Manual","First","25.0 kmpl","1396 CC","69 bhp","5.0","2.5"
"Audi A4 2.0 TDI Multitronic","Jaipur","2012.0","65664.0","Diesel","Automatic","First","16.55 kmpl","1968 CC","140 bhp","5.0","13.5"
"Honda City ZX CVT","Mumbai","2007.0","63000.0","Petrol","Automatic","Second","16.4 kmpl","1497 CC","78 bhp","5.0","1.85"
"Mercedes-Benz C-Class Progressive C 220d","Coimbatore","2019.0","15369.0","Diesel","Automatic","First","0.0 kmpl","1950 CC","194 bhp","5.0","35.67"
"Maruti Ertiga SHVS VDI","Pune","2016.0","63000.0","Diesel","Manual","First","24.52 kmpl","1248 CC","88.5 bhp","7.0","8.15"
"Hyundai Creta 1.4 E Plus Diesel","Mumbai","2018.0","13000.0","Diesel","Manual","First","22.1 kmpl","1396 CC","88.7 bhp","5.0","10.5"
"Porsche Cayenne 2009-2014 Turbo","Mumbai","2008.0","73000.0","Petrol","Automatic","First","8.5 kmpl","4806 CC","500 bhp","5.0","14.5"
"Mahindra XUV500 W8 4WD","Mumbai","2015.0","55729.0","Diesel","Manual","First","15.1 kmpl","2179 CC","140 bhp","7.0","9.65"
"Hyundai i10 Sportz 1.2 AT","Kochi","2012.0","45178.0","Petrol","Automatic","First","16.95 kmpl","1197 CC","78.9 bhp","5.0","3.48"
"Nissan Terrano XV D Pre","Kochi","2015.0","56066.0","Diesel","Manual","First","19.64 kmpl","1461 CC","108.5 bhp","5.0","6.92"
